iter	Logloss
0	0.6861374231
1	0.6780055628
2	0.6701216656
3	0.6624735741
4	0.6552836258
5	0.6498740329
6	0.6425308205
7	0.6354372153
8	0.6278604186
9	0.6229497313
10	0.6171916352
11	0.6105055442
12	0.6042264393
13	0.598375143
14	0.592202425
15	0.5868742301
16	0.5812758927
17	0.5767130004
18	0.5713934114
19	0.565210496
20	0.559824088
21	0.5542051856
22	0.5492852715
23	0.544035503
24	0.538851434
25	0.5340601064
26	0.5283970581
27	0.5225318432
28	0.5160361863
29	0.5108753819
30	0.5058206198
31	0.5013195629
32	0.496935888
33	0.4909731053
34	0.4852583938
35	0.4798733753
36	0.4757527333
37	0.4710158747
38	0.4671022181
39	0.4627309164
40	0.458147744
41	0.4534013844
42	0.4489998923
43	0.4443754437
44	0.4403450881
45	0.4363489527
46	0.4318664794
47	0.428033329
48	0.4243151275
49	0.4205863877
50	0.417898574
51	0.4138961425
52	0.4103643876
53	0.4063999722
54	0.4024562737
55	0.3989084047
56	0.39468567
57	0.3909343084
58	0.3872127058
59	0.3844496074
60	0.3811083807
61	0.3771563347
62	0.3737428019
63	0.3708937478
64	0.3674756924
65	0.3635636096
66	0.360605921
67	0.3574468454
68	0.3541560776
69	0.3506747677
70	0.347544964
71	0.345121201
72	0.341960724
73	0.3392483954
74	0.3359478815
75	0.3324902702
76	0.3290990846
77	0.3264415778
78	0.3238421307
79	0.321091463
80	0.3185594811
81	0.3161323373
82	0.3137313614
83	0.3115030085
84	0.3090752549
85	0.3064647821
86	0.3049046814
87	0.3022067045
88	0.2990549305
89	0.296268716
90	0.2943567861
91	0.2922438624
92	0.2900021936
93	0.2871215103
94	0.2846381144
95	0.2824686862
96	0.2801387691
97	0.278071036
98	0.2759278061
99	0.273748714
100	0.2719248608
101	0.2693327669
102	0.2670828612
103	0.2649989402
104	0.2624538353
105	0.2601057008
106	0.2581990064
107	0.2558251436
108	0.2536410914
109	0.2514000341
110	0.2493624203
111	0.2476099245
112	0.2459535648
113	0.2438802366
114	0.2417222477
115	0.2398343207
116	0.2378855726
117	0.2358091939
118	0.2342507601
119	0.2326025507
120	0.2306527768
121	0.2288972696
122	0.2272793017
123	0.2250389853
124	0.2234042718
125	0.2215720665
126	0.2194394006
127	0.2175784516
128	0.215992721
129	0.2143720239
130	0.2132817533
131	0.2118904353
132	0.2104301596
133	0.2087838598
134	0.2072268843
135	0.2057728758
136	0.2042464309
137	0.2028410013
138	0.200918631
139	0.1994384513
140	0.1984662524
141	0.1971157037
142	0.1959101067
143	0.1946655527
144	0.193087148
145	0.1917506425
146	0.1901409005
147	0.1891425494
148	0.1876580595
149	0.1862832428
150	0.1851492854
151	0.183813138
152	0.1825046145
153	0.1813433083
154	0.1798806536
155	0.178600353
156	0.177337778
157	0.1762432661
158	0.1751212545
159	0.1740066855
160	0.172702137
161	0.171386814
162	0.1700080367
163	0.1688183067
164	0.1679102711
165	0.1667806206
166	0.1655218342
167	0.1642767486
168	0.1632480392
169	0.1621305506
170	0.1610127271
171	0.1597643852
172	0.1588235665
173	0.1579359624
