iter	Passed	Remaining
443	1221	1529
444	1223	1526
445	1226	1523
446	1229	1520
447	1231	1517
448	1234	1515
449	1237	1512
450	1239	1508
451	1242	1506
452	1245	1503
453	1249	1502
454	1251	1499
455	1255	1497
456	1258	1494
457	1260	1491
458	1262	1488
459	1265	1485
460	1268	1483
461	1271	1480
462	1273	1477
463	1276	1474
464	1279	1471
465	1282	1469
466	1284	1466
467	1287	1463
468	1290	1460
469	1292	1457
470	1294	1454
471	1297	1451
472	1299	1448
473	1304	1447
474	1307	1444
475	1309	1442
476	1312	1438
477	1314	1435
478	1317	1433
479	1320	1430
480	1322	1427
481	1325	1424
482	1328	1421
483	1331	1419
484	1334	1416
485	1337	1414
486	1340	1411
487	1343	1409
488	1345	1406
489	1347	1402
490	1350	1400
491	1353	1397
492	1355	1394
493	1358	1391
494	1361	1388
495	1363	1385
496	1365	1382
497	1368	1379
498	1371	1377
499	1374	1374
500	1378	1372
501	1380	1369
502	1383	1366
503	1385	1363
504	1388	1361
505	1390	1357
506	1393	1354
507	1396	1352
508	1398	1349
509	1401	1346
510	1404	1344
511	1407	1341
512	1409	1338
513	1412	1335
514	1415	1332
515	1418	1330
516	1420	1327
517	1423	1324
518	1425	1321
519	1428	1318
520	1431	1316
521	1434	1313
522	1436	1310
523	1439	1307
524	1441	1304
525	1444	1301
526	1447	1299
527	1450	1296
528	1453	1293
529	1455	1291
530	1458	1288
531	1461	1286
532	1465	1283
533	1467	1280
534	1474	1281
535	1477	1278
536	1479	1275
537	1482	1272
538	1484	1270
539	1487	1267
540	1490	1264
541	1493	1262
542	1496	1259
543	1499	1257
544	1502	1254
545	1504	1251
546	1507	1248
547	1510	1245
548	1513	1243
549	1515	1240
550	1517	1236
551	1520	1233
552	1523	1231
553	1525	1228
554	1528	1225
555	1531	1223
556	1533	1219
557	1536	1217
558	1538	1214
559	1541	1210
560	1543	1208
561	1546	1205
562	1549	1202
563	1552	1200
564	1554	1197
565	1557	1194
566	1560	1191
567	1563	1189
568	1567	1187
569	1569	1184
570	1572	1181
571	1575	1179
572	1578	1176
573	1581	1173
574	1584	1171
575	1587	1168
576	1589	1165
577	1592	1163
578	1595	1160
579	1598	1157
580	1601	1154
581	1603	1151
582	1607	1149
583	1609	1146
584	1612	1144
585	1615	1141
586	1618	1138
587	1621	1136
588	1623	1133
589	1626	1130
590	1629	1127
591	1632	1124
592	1634	1121
593	1638	1119
594	1640	1116
595	1643	1113
596	1645	1110
597	1648	1108
598	1651	1105
599	1653	1102
600	1656	1099
601	1658	1096
602	1661	1093
603	1664	1091
604	1667	1088
605	1670	1085
606	1673	1083
607	1676	1080
608	1678	1077
609	1681	1075
610	1684	1072
611	1686	1069
612	1689	1066
613	1691	1063
614	1694	1060
615	1697	1058
